Nombre,26.3
Mauricio Salazar,181
Carlos Vallejo,0
Francisco Martinez,144
Andres Giraldo (Coco),156
Sebastian Diaz,141
Mateo Escobar,134
Felipe Aristizabal,0
Stiben Ledesma,171
Julian Garcia,197
Brian Hincapie,159
David Escobar,200
Diego Trujillo,156
Alejandro Velez,0
Juan Fernandez,145
Mateo Villa,174
Daniel Mesa,207
Juan Jose Cardona,0
Jorge Santa,0
Emmanuel Arcila,0
